game_title,score,source
Madden NFL 08,8.8,Green PLC
Sonic Adventure 2 Battle,7.2,Mcguire-Burns
Dragon Warrior II,7.2,Daniel PLC
Pokémon Colosseum,7.9,"Shah, Murphy and Miller"
Deca Sports,8.9,Maddox PLC
Madden NFL 09,7.8,"Gomez, Weaver and Simpson"
Space Invaders,6.3,Payne-Bailey
Crazy Taxi,9.7,"Walls, Herring and Parker"
Perfect Dark,5.8,Li PLC
Game Party,7.3,Moody-Gibson
Dragon Warrior,9.7,Miller PLC
Tomb Raider (2013),9.9,"Dalton, Richardson and Mendoza"
Marvel: Ultimate Alliance,6.0,Johnson-Johnson
PES 2009: Pro Evolution Soccer,6.2,Bradley-Summers
Mario Party 2,6.4,"Alvarado, Montgomery and Brown"
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,6.1,French-Phelps
LEGO Harry Potter: Years 1-4,9.5,Miller Ltd
Mortal Kombat: Deadly Alliance,7.0,Kelley-Kennedy
Resistance 2,7.8,"Richard, Garcia and Gordon"
Pure,5.9,"Donovan, Leon and Arellano"
Tomb Raider: The Last Revelation,8.7,Bishop LLC
Rock Band,9.3,Carson Inc
NBA 2K14,8.8,Hurley-Taylor
Mario Party 4,8.9,Martinez Inc
uDraw Studio,7.0,Phillips-Garcia
Midnight Club: Los Angeles,8.5,Underwood Inc
Final Fantasy V,6.2,Martinez and Sons
Final Fantasy Tactics,5.4,Rios-Bell
Twisted Metal 2,8.8,"Daniels, Charles and Powell"
Halo: Combat Evolved Anniversary,6.2,"Wood, Robinson and Mcfarland"
Need for Speed Carbon: Own the City,8.1,Moore-Bailey
The Sims: Bustin' Out,9.2,Smith Ltd
Riven: The Sequel to Myst,8.5,Wolf-Melendez
Tom Clancy's Rainbow Six: Vegas 2,9.4,Williams-Ball
Sonic Adventure,9.7,Robles-Miller
Ice Hockey,5.6,"Powell, Thomas and Campos"
pro evolution soccer 2011,5.9,Phillips-Torres
Dragon Ball Z: Budokai 2,6.4,"Collins, Perkins and Barnes"
ATV Offroad Fury,9.6,Wilson-West
Dino Crisis,5.8,Wright Group
Need for Speed: ProStreet,9.6,Montgomery Ltd
Tetris Plus,6.0,Lopez PLC
Pro Wrestling,9.2,Warren-Wise
Theme Hospital,5.5,"Martinez, Jordan and Anderson"
Frogger's Adventures: Temple of the Frog,6.0,James Group
Need for Speed (2015),7.2,Warner Inc
Monopoly,5.2,Williams-Martinez
Batman: Arkham Origins,8.0,Gray PLC
Dead Island,8.6,"Smith, Campbell and Simmons"
Guitar Hero,6.4,Rubio PLC
Kinect: Disneyland Adventures,9.0,Smith-Dodson
WCW/nWo Revenge,9.0,Gallagher-Estes
Bloodborne,9.1,Jensen Group
NBA 2K15,7.4,"Adams, Castillo and Velez"
Yu-Gi-Oh! The Duelists of the Roses,6.5,Carpenter PLC
Half-Life 2,9.2,Sanchez Ltd
The Incredibles,6.3,"Reeves, Mercado and Conley"
Tony Hawk's Underground 2,6.0,Jennings-Freeman
Kinect Sports: Season Two,8.4,"Pena, Jackson and Pratt"
Kirby's Dream Land 2,7.8,Lee-Sanchez
Donkey Kong Land II,6.2,Ross Group
Dragon Warrior Monsters,9.1,Jackson Inc
Skylanders SWAP Force,5.3,"Paul, Hammond and Vargas"
WWE SmackDown vs Raw 2008,7.3,"Price, Patterson and Ramirez"
My Fitness Coach,7.1,Benjamin-Trevino
Resident Evil - Code: Veronica X,8.3,"Johnston, Thomas and Nguyen"
The Legend of Zelda: Majora's Mask 3D,6.7,"Aguilar, White and Olsen"
Just Dance Kids,5.8,Martin and Sons
Mario Tennis,9.5,"Hinton, Taylor and Brown"
Grand Theft Auto,6.8,Smith-Clark
James Bond 007: Everything or Nothing,5.5,Webb-Zamora
WarioWare Touched!,9.5,Peterson-Mejia
Need For Speed: High Stakes,9.7,"Kim, Lopez and Castillo"
Chrono Trigger,8.8,Ponce-Davis
Cool Boarders 3,6.0,"Singh, Hawkins and Gallagher"
LEGO Marvel Super Heroes,7.5,"Nielsen, Gordon and Nichols"
Guild Wars 2,8.4,"Bailey, Fleming and Cox"
Pokemon Ranger: Shadows of Almia,8.5,Harris Ltd
God of War: Ascension,5.4,"Arnold, Rodgers and Thompson"
Pro Evolution Soccer 2010,5.3,Watson PLC
Just Dance 2015,5.7,Kelly-Cole
Yokai Watch Busters,6.2,Oliver Inc
Mario Bros.,6.4,Williams-Martinez
TOCA Touring Car Championship,6.6,"Pena, Russell and Wagner"
Paper Mario: Sticker Star,8.9,"Russell, Gonzalez and Davis"
Sonic's Ultimate Genesis Collection,7.1,Ford Ltd
Super Monkey Ball: Banana Blitz,6.0,Vazquez-Steele
Kirby: Nightmare in Dream Land,9.0,Moore-Wilson
Wario Land 4,6.9,Martinez Inc
Onimusha 2: Samurai's Destiny,9.5,"Anderson, Taylor and Parker"
Cool Boarders 2,5.3,"Copeland, Graves and Young"
Paper Mario: The Thousand-Year Door,7.4,"Griffin, Andrade and Sullivan"
Dissidia: Final Fantasy,7.5,Velez-Miller
Sonic Advance,5.2,Lewis Inc
Spyro: Season of Ice,8.0,Hall-Warren
Teenage Mutant Ninja Turtles II: The Arcade Game,6.1,Wilson-Wilson
Dance Dance Revolution X2,8.4,"Patel, Jones and Adams"
New Super Luigi U,9.4,Miller Ltd
Prince of Persia: The Sands of Time,5.7,Smith-Austin
Scribblenauts,5.7,Gregory Group
The Legend of Zelda: Link's Awakening DX,9.3,Moore and Sons
BioShock 2,5.1,Webster-Roach
Devil May Cry 3: Dante's Awakening Special Edition,9.6,Jackson-Osborne
Rock Band 2,6.3,Jones Ltd
Wario Land 3,6.7,Potter-Richards
Pro Yakyuu Family Stadium,5.1,Murphy LLC
Sonic Unleashed,8.0,Dorsey-Delacruz
High School Musical: Makin' the Cut!,10.0,Robbins-Shaw
Pro Evolution Soccer 2012,5.5,Lewis-Sparks
Saints Row,5.8,"Green, Pearson and Meza"
Star Wars: Knights of the Old Republic,7.4,Alexander Inc
Kirby's Pinball Land,5.3,"King, Aguilar and Strickland"
Hitman: Absolution,7.8,Horn-Lambert
Yu-Gi-Oh: Duel Monsters 4,6.5,Prince-Bennett
ATV Offroad Fury 2,8.4,"Moreno, Jones and Camacho"
Forza Motorsport 5,5.2,Johnson Inc
Madden NFL 25,7.3,"Newman, Horton and Bass"
Pokemon Ranger,8.8,"Carroll, Singh and Roberts"
Mario & Luigi: Superstar Saga,7.9,Keller Ltd
Star Wars: Rogue Squadron,7.6,Miller-Harrell
Tennis,5.9,Rodriguez Group
The Sims: House Party,6.3,Perez-Trujillo
Your Shape featuring Jenny McCarthy,6.1,Miller-Warren
Syphon Filter 2,8.9,Bright Inc
Tom Clancy's Rainbow Six: Siege,7.7,Maldonado Inc
Volleyball,9.2,Rodriguez-Barrera
Call of Duty: Roads to Victory,5.7,Jones-Ballard
Super Mario RPG: Legend of the Seven Stars,7.9,Blanchard Ltd
Mahjong,6.4,Wilson and Sons
R.C. Pro-Am,6.2,Savage Group
SimCity 2000,8.3,Forbes LLC
Demon Attack,7.8,Hernandez-Hickman
Dance Dance Revolution Extreme,6.1,Johnston-White
Tetris DS,5.2,Edwards Group
Final Fantasy Tactics Advance,7.5,"Scott, Marshall and Farrell"
Far Cry: Primal,8.4,Rosales-Cline
Toy Story 3: The Video Game,8.0,Nicholson-Stephens
Kirby's Epic Yarn,5.8,Brady and Sons
Project Gotham Racing,7.2,Ray-Brown
Need for Speed: Hot Pursuit 2,8.9,"Perkins, Jordan and Scott"
Mario Sports Mix,5.6,"Castro, Johnson and Ward"
Dynasty Warriors 4,9.0,Lopez-Allen
Parasite Eve,9.0,"Gonzales, Sanchez and Mcintosh"
Scooby-Doo! Night of 100 Frights,5.2,"Reed, Young and Ford"
Project Gotham Racing (JP weekly sales),7.6,"Lin, Andrews and Wiggins"
Need for Speed: Most Wanted 5-1-0,8.8,Navarro LLC
Portal 2,5.9,"Berry, Torres and Gray"
Devil May Cry 3: Dante's Awakening,6.8,"Wilson, Jones and Rose"
Derby Stallion,5.9,"Reid, Lawrence and Fisher"
Dead Rising,8.3,"Warner, Pugh and Lee"
NBA 2K11,9.0,Martinez Group
Wipeout: The Game,5.6,Stafford and Sons
The Sims 2: Pets,7.2,"Norris, Hines and Ortega"
Battlefield: Hardline,5.6,Solomon PLC
Metal Gear Solid: Peace Walker,5.9,"Brown, Hughes and Delacruz"
World of Warcraft: Cataclysm,7.6,"Bennett, Pena and Morse"
Tetris Worlds,9.3,Mason Inc
Need For Speed: Undercover,6.3,Morales Inc
Dance Dance Revolution: Hottest Party,7.4,"Melton, Moore and Dawson"
Mario Party 5,6.7,"Reyes, Holmes and Becker"
Sim Theme Park,7.4,King PLC
Warcraft: Orcs & Humans,9.7,Stevens and Sons
Spec Ops: Airborne Commando,5.8,Fleming-Goodwin
Kingdom Hearts: Birth by Sleep,5.2,Pacheco-Harvey
UFC 2009 Undisputed,9.3,Rivas-Townsend
Dark Souls,9.5,"Cannon, Anderson and Armstrong"
Yu-Gi-Oh! The Eternal Duelist Soul,7.2,Massey PLC
Tom Clancy's Splinter Cell: Conviction,8.9,Wolf-Lynn
Pokemon Mystery Dungeon: Red/Blue Rescue Team,9.8,Rice Ltd
R4: Ridge Racer Type 4,8.2,"Jenkins, Guerrero and Phillips"
SoulCalibur II,9.7,Smith-Morrison
Mario & Luigi: Dream Team,7.8,"Smith, Huerta and Vaughn"
Pokémon Mystery Dungeon: Blue Rescue Team,5.1,"Brown, Smith and Castillo"
Sonic Mega Collection,5.3,Ford Ltd
NBA Jam,5.7,Rodriguez-Orozco
PGR4 - Project Gotham Racing 4,8.7,Lee Group
Kingdom Hearts 358/2 Days,5.5,Jackson and Sons
Dance Central 2,7.7,"Mcbride, Rivera and Walker"
Rayman Raving Rabbids: TV Party,9.4,Perez LLC
SOCOM: U.S. Navy SEALs: Combined Assault,5.1,Frazier-Joseph
Peter Jackson's King Kong: The Official Game of the Movie,8.7,Long-Everett
Need for Speed: The Run,6.1,"Estrada, Torres and Reynolds"
Madden NFL 15,5.6,Nichols Inc
1080°: TenEighty Snowboarding,8.5,"Coleman, Edwards and Lee"
NBA Live 2004,8.5,"Martinez, Goodwin and Coleman"
Dead Space,6.0,Nelson Ltd
Call of Duty 2,7.7,"Joseph, Vasquez and Walker"
Forza Horizon,8.5,"Patterson, Mills and Haynes"
TouchMaster,7.6,Heath PLC
Fire Emblem: Awakening,9.0,Huffman PLC
DriveClub,7.7,Allen and Sons
Super Street Fighter II,5.1,Nelson Inc
Mortal Kombat vs. DC Universe,9.1,Hanson Group
Tenchu: Stealth Assassins,6.4,"Williams, Taylor and Leonard"
SimCity,8.5,"Delacruz, Scott and Barker"
Dragon Age: Inquisition,8.6,Smith Group
Sonic Classic Collection,5.0,Taylor-Mccullough
Spyro: Enter the Dragonfly,6.0,Ellis Ltd
Devil May Cry 2,9.8,Armstrong Inc
Burnout Paradise,7.4,Goodwin-Hernandez
E.T.: The Extra Terrestrial,9.8,Gordon-Owen
BioShock Infinite,6.7,"Collins, Mckenzie and Wong"
Hot Shots Golf: Open Tee,8.4,Turner-Jacobson
Rad Racer,6.4,Walker LLC
Soccer,6.7,Lee-Griffith
Kirby Squeak Squad,9.8,Lowery-Collins
Tom Clancy's Rainbow Six: Vegas,7.2,Smith-Werner
Crash Nitro Kart,8.1,Brown Inc
Star Wars: Dark Forces,9.8,Mckinney-Stanton
NBA Street Vol. 2,6.8,"Mendoza, Gill and Phillips"
Def Jam Vendetta,8.1,Baker Group
Who wants to be a millionaire,5.8,Scott-Ortega
Scooby Doo and the Cyber Chase,6.6,"Hamilton, Johnson and Velasquez"
Alleyway,6.7,Kennedy-Walker
Dragon Ball Z: Budokai 3,9.9,Morrison Inc
Jet Moto 2,9.6,Stewart and Sons
Tom Clancy's Ghost Recon,5.4,Ewing-Williams
X-Men Legends,9.5,"Baker, Montgomery and Roberts"
Mortal Kombat II,5.7,Peterson-Crawford
Virtua Fighter 2,7.3,Johnson PLC
Tetris DX,6.5,Williams-Duncan
Mario Super Sluggers,8.7,"Murphy, Stewart and Miller"
The Legend of Zelda: Oracle of Ages,8.2,Richard-Henry
Red Faction,5.1,"Nicholson, Thomas and Romero"
The Sims: Makin' Magic,6.5,"Cox, Allen and Branch"
MX Unleashed,8.6,Price Inc
PaRappa The Rapper,9.5,Bishop-Smith
Toy Story Mania!,6.3,"Wells, Brown and Tucker"
Mario Party 3,5.9,Morgan Group
Game Party 2,9.6,Molina-Howard
Destiny: The Taken King,8.4,Baker Inc
LEGO Star Wars III: The Clone Wars,5.0,Arnold-Perry
Star Wars Rogue Leader: Rogue Squadron II,9.1,Reynolds Group
Max Payne 3,8.4,Hancock and Sons
Need for Speed Rivals,8.5,Martinez-Torres
Yokai Watch,6.3,Alvarado-Ross
Ratchet & Clank Future: A Crack in Time,6.9,French-Li
Yu-Gi-Oh! Forbidden Memories,6.4,"Martin, Davis and Owens"
Mortal Kombat: Deception,5.4,Turner LLC
Hot Shots Golf 2,5.4,Hernandez-Thompson
Medal of Honor: European Assault (All Region sales),5.7,Rowe-Sims
WCW Nitro,5.6,"Booker, Robertson and Hernandez"
High School Musical: Sing It!,5.3,Mendoza-Pearson
Star Fox Adventures,7.4,Schneider-King
FIFA 2000,9.0,Holt-Lawson
Dynasty Warriors 3,7.6,Miller Group
The Legend of Zelda: Oracle of Seasons,8.0,Hopkins-Jacobson
Shrek 2,9.4,Whitaker LLC
The Legend of Dragoon,9.0,Everett LLC
Turok 2: Seeds of Evil,8.8,Johnson and Sons
SingStar,8.6,Alexander-Pollard
LittleBigPlanet 3,8.4,Chen-Williams
NBA Live 2002,9.7,"Martinez, Simon and Turner"
Phineas and Ferb,8.6,"Reynolds, Castro and Hart"
Chrono Cross,6.6,"Reeves, Reed and Edwards"
GoldenEye 007 (2010),9.1,Watson-Malone
Mario Party: Island Tour,8.9,Thomas-Case
Jak 3,6.5,"White, Harvey and Herrera"
Rayman Raving Rabbids 2,8.9,"Black, King and Butler"
Kingdom Hearts: Chain of Memories,9.8,Thompson-Hawkins
Pinball,6.5,Solomon-Marquez
inFAMOUS 2,7.6,Casey Group
Gran Turismo Concept 2001 Tokyo,5.9,"Thomas, Drake and Yu"
Demon's Souls,5.1,Smith-Sanchez
NCAA Football 06,5.4,Boone-Sanchez
"Hey You, Pikachu!",6.7,Ward-Waters
2 Games in 1: Sonic Advance & ChuChu Rocket!,9.9,Mckinney-Short
World of Warcraft: Mists of Pandaria,9.2,Johnson-Nguyen
Jet Moto,9.5,"Molina, Cruz and Alexander"
Just Cause 3,7.9,"Hanson, Fox and Marshall"
Secret of Mana,9.5,Clark-Rosario
The Orange Box,8.2,Williams-Skinner
Air Combat,8.3,Brown-Gray
Kirby: Triple Deluxe,7.6,"Pineda, Benitez and Martin"
Sonic & Knuckles,9.4,"Johnson, Ramirez and Vazquez"
The Sims: Hot Date,9.2,Ho Group
Metroid Prime 3: Corruption,8.7,Brown-Russo
Dragon Quest VI: Realms of Revelation,8.2,Mendez Ltd
The Evil Within,8.4,Haas Inc
DDRMAX2: Dance Dance Revolution,9.2,Schneider LLC
Virtua Fighter 4,8.6,Newman-Ford
Sly 2: Band of Thieves,5.8,Whitaker-Soto
Sonic Advance 2,8.2,"Banks, Riddle and Cardenas"
NFL GameDay 2000,5.6,Allison-Figueroa
Disney's The Lion King,5.5,Williams-Garcia
Beyond: Two Souls,8.6,"Hernandez, Chavez and Reynolds"
Kinect Star Wars,9.5,Long-Estrada
Midnight Club II,8.3,Richardson Group
Dragon Quest Monsters: Joker,6.8,"Hawkins, Robles and Montgomery"
SpongeBob SquarePants: SuperSponge,6.4,"Braun, Irwin and Winters"
The Getaway: Black Monday,8.3,Boyd PLC
Professor Layton and the Mask of Miracle,7.0,Bates-Campbell
Just Cause 2,9.7,Stokes-James
Dragon's Dogma,5.4,Kane PLC
50 Cent: Bulletproof,6.4,Green-Perez
Wii Party U,6.6,"Garrett, Martin and Gill"
Final Fantasy II,8.0,"Mason, Beard and Bullock"
Kirby 64: The Crystal Shards,8.0,Combs-Huffman
Dead or Alive 3,8.4,Cuevas-Shaw
Metroid II: Return of Samus,7.6,"Rice, Rice and Torres"
WWF Attitude,6.8,"Johnson, Friedman and Moss"
The SpongeBob SquarePants Movie,5.6,Howe-Williams
Golden Sun,6.4,Long-Gutierrez
Sonic the Hedgehog 3,9.5,Woodard-Evans
Kid Icarus,6.1,Schneider Inc
Def Jam: Fight for NY,8.8,Smith-Myers
State of Emergency,6.9,"Torres, Powell and Martinez"
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,5.2,"Thomas, Jackson and Stevens"
The Urbz: Sims in the City,8.9,Holmes Ltd
Star Wars: Starfighter,7.2,Nelson Ltd
Madden NFL 2000,7.8,"Knight, Henderson and Lewis"
Pro Evolution Soccer,5.1,Kennedy-Vega
Crackdown,5.6,Miller LLC
Yoshi,9.1,Hurst Ltd
Disney's Aladdin,9.1,Ward and Sons
Kirby's Adventure,8.1,"Perez, Mathews and Jenkins"
Cooking Mama 3: Shop & Chop,9.1,Williams PLC
Dance Dance Revolution X,9.1,Perez Ltd
2 Games in 1: Disney Princess & The Lion King,5.7,"Smith, Dennis and Jones"
Star Wars Episode I: The Phantom Menace,8.7,"Hernandez, Durham and Boyd"
Xenosaga Episode I: Der Wille zur Macht,10.0,Clark LLC
The Beatles: Rock Band,9.9,Griffin LLC
Forza Motorsport 6,8.7,Davis Group
Sonic Colors,9.7,"Hawkins, Perry and Brown"
Cruis'n USA,6.6,Smith-Martinez
Madden NFL 99,7.0,"Riley, Miller and Walker"
Uncharted: Golden Abyss,8.7,Morales-Wagner
SSX Tricky,8.9,Klein Ltd
Overwatch,9.7,Jensen-Owen
Twisted Metal III,10.0,"Mills, Sherman and Curtis"
Disney Infinity,5.9,Green LLC
Crash Bandicoot: The Huge Adventure,6.5,Vargas-Lewis
Dishonored,7.6,Page and Sons
The Order: 1886,7.8,Tapia-Quinn
The Elder Scrolls Online,8.9,Williams PLC
Call of Duty: World at War Final Fronts,8.7,Anderson-Johnson
Imagine: Teacher,7.2,"Delacruz, Smith and Valencia"
Star Ocean: Till The End of Time,9.5,Robinson-Bautista
The Sims 3: Late Night Expansion Pack,5.8,Webb-Alvarez
Game Party 3,7.6,Flynn and Sons
Toy Story 2: Buzz Lightyear to the Rescue!,6.1,Jackson and Sons
Deal or No Deal,7.4,Diaz-Sullivan
Ace Combat 5: The Unsung War,6.1,Malone Inc
Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,5.7,Scott-Chaney
Cabela's Big Game Hunter 2010,6.7,"Long, Thomas and Ware"
The Crew,6.9,Jones Ltd
We Ski,8.7,"Johnson, Silva and Richardson"
Personal Trainer: Math,6.9,Rodriguez Ltd
Kirby's Return to Dreamland,8.4,Murray Ltd
Super Puyo Puyo,5.2,Rodriguez Ltd
Ben 10: Protector of Earth,7.7,Cole and Sons
NCAA Football 07,6.9,Donovan Group
SOCOM 3: U.S. Navy SEALs,6.2,Contreras-Clark
Saints Row IV,6.5,Lopez-Neal
Jampack Winter '99,5.3,Callahan PLC
WCW vs. nWo: World Tour,7.6,"Reynolds, Hester and Garcia"
WCW/NWO Thunder,8.7,Dalton and Sons
Dragon Ball Z: The Legacy of Goku,6.3,King PLC
Sid Meier's Civilization V,9.5,Garcia-Pham
Call of Duty Black Ops: Declassified,9.3,Young-Turner
Star Wars Battlefront: Renegade Squadron,9.8,"Shaw, Cervantes and Lopez"
World Championship Poker: Featuring Howard Lederer - All In,7.1,"Hale, Matthews and Jenkins"
NFL GameDay 98,6.5,Jones-Garcia
LEGO Batman 2: DC Super Heroes,7.8,Fitzgerald-Small
Yoshi's Cookie,9.9,Graves Group
Time Crisis,7.4,Holloway-Walters
The Sims: Superstar,9.6,Gray Ltd
Star Wars The Clone Wars: Lightsaber Duels,8.1,"Gillespie, Gordon and Roberts"
Metroid Fusion,7.8,"Shannon, Mason and Fisher"
Shaun White Snowboarding: Road Trip,5.1,Perez-Warner
SSX 3,7.6,"Fitzpatrick, Russell and Spencer"
Big Beach Sports,8.6,"Robinson, Woods and Bennett"
Madden NFL 2001,6.0,Mercado-Valencia
Fight Night Round 3,10.0,"Jones, Anderson and Wu"
Knack,5.8,Soto-Taylor
Disney's DuckTales,8.7,Fleming LLC
"Monsters, Inc.",8.8,Richardson-Garza
StarCraft II: Heart of the Swarm,9.4,Hubbard and Sons
PGR: Project Gotham Racing 2,9.8,"Reyes, Mcintosh and Mueller"
Spy Hunter,9.9,Boyd Ltd
NCAA Football 2004,7.5,"Davis, Torres and Caldwell"
SpongeBob SquarePants: Battle for Bikini Bottom,6.9,Page Ltd
Dying Light,6.3,Hale-Randall
Heavenly Sword,9.6,"Fletcher, Wilcox and Brown"
Street Fighter II': Special Champion Edition,7.9,"Brown, Watts and Hill"
SSX,7.7,Gallagher-Smith
NBA Ballers,6.4,Johnson-Pollard
Need for Speed Carbon,8.0,"Wilson, Shepherd and Ortega"
NBA Live 2003,8.6,Sanders and Sons
Dragon Ball Z: Budokai Tenkaichi,7.8,"Russell, Weaver and Kennedy"
Ms. Pac-Man,6.2,Lopez-Nelson
Mario Party 6,6.8,Case LLC
Super Scope 6,7.9,"Flores, Shaw and Hines"
Go Vacation,6.1,Sanders-Davis
Army of Two,7.1,Thompson-Thompson
Dragon Quest IV: Chapters of the Chosen,6.8,"Green, Moore and Dawson"
Kirby & the Amazing Mirror,7.6,Williamson-Reynolds
LEGO Pirates of the Caribbean: The Video Game,8.4,Rubio-Clements
Dig Dug,6.6,Rogers LLC
Tom Clancy's Rainbow Six,9.1,Roberson-Alvarado
Ghosts 'n Goblins,5.3,Jacobs PLC
Tiger Woods PGA Tour 2003,8.4,Wilson PLC
NBA Live 06 (All region sales),9.8,Olsen-Hall
Prince of Persia: Warrior Within,8.6,Gonzalez-Wilson
Kinectimals,9.3,Atkinson Group
Until Dawn,5.6,"Chung, Moon and Patton"
Viva Pinata,6.4,Ryan-Shelton
Pikmin,9.5,White Ltd
Sonic Generations,7.7,"Mcdonald, Velez and Morales"
Tiger Woods PGA Tour 2004,8.2,Anderson-Castro
Ape Escape,8.3,"Shields, Gonzalez and Nguyen"
NCAA Football 2005,8.2,"Santana, Shaffer and Smith"
Tony Hawk's American Wasteland (Old all region sales),7.2,"White, Hansen and Garner"
Rage,7.3,"Williamson, Burgess and Davis"
Mario Hoops 3 on 3,8.7,Glenn-Bryant
Kirby Air Ride,7.9,"Santos, Burton and Evans"
Sled Storm,7.8,Mcguire Group
Pokemon Battle Revolution,9.9,"Reed, Khan and Johnson"
NFL Street 2,6.8,"Roy, Wyatt and Lyons"
Gears of War: Judgment,9.6,Ward Ltd
Yu-Gi-Oh! Duel Monsters,6.7,Nunez-Ibarra
Super Mario Strikers,9.3,"Rivera, Powers and Morales"
Buzz! The Music Quiz,9.3,"Erickson, Perez and Trujillo"
SpongeBob's Atlantis SquarePantis,8.6,Boyd LLC
Dance Dance Revolution: Hottest Party 2,8.9,Sparks and Sons
Moshi Monsters: Moshling Zoo,7.5,Dodson Inc
Dollar Dash,6.1,"Rodriguez, Barajas and Fuentes"
Far Cry 2,8.4,Gill-Jones
F-1 World Grand Prix,6.1,Anthony-Vincent
River Raid,5.6,Williams Ltd
Silent Hill,8.8,Parks-Williams
Dragon Quest V: Hand of the Heavenly Bride,9.8,Johnson and Sons
No Man's Sky,8.5,Harris Inc
ESPN NBA 2K5,7.3,Alvarez-Russell
Diablo,8.0,Bryant-Williams
Soul Edge,6.9,Reid Inc
Devil May Cry 4,8.3,Smith-Cunningham
SoulCalibur IV,5.3,Trevino Ltd
NASCAR 2000,6.6,"Roberts, Dennis and Smith"
Wolfenstein: The New Order,8.4,"Booth, Rose and Allen"
Carnival Games: Mini Golf,7.5,Orozco Inc
Guitar Hero: On Tour Decades,5.9,Petersen-Salazar
MySims Kingdom,9.7,Moore-Dunn
Jampack Summer 2K,9.9,"Adams, Martinez and Riley"
Guitar Hero 5,7.9,Sanders Ltd
High School Musical 3: Senior Year,5.1,Levy Inc
Kingdom Hearts 3D: Dream Drop Distance,5.5,"Melton, Navarro and Roberts"
Hannah Montana: Music Jam,6.5,Johnston Inc
Pokemon Mystery Dungeon: Explorers of Sky,7.3,Rowe LLC
Spyro 2: Season of Flame,5.0,Watkins Inc
NCAA Football 2002,10.0,Johnston-Cooper
Conflict: Desert Storm,5.0,Smith-Craig
Mario Party 7,7.2,Reyes and Sons
Pro Evolution Soccer 2013,6.7,Mccoy-Sanford
Smuggler's Run,5.7,Adams-Mcgee
Donkey Kong Classics,7.1,Patel Group
Twisted Metal,7.2,Lee Ltd
Dark Souls III,8.9,Ramos LLC
Final Fight,9.9,"Jones, Cain and Richardson"
Dragon Quest Monsters 2,9.3,"Jones, Mueller and Byrd"
Pokemon Pinball: Ruby & Sapphire,6.2,Browning Inc
Mafia II,7.6,Rodriguez and Sons
Stuntman,9.6,Ward-White
Tom Clancy's Rainbow Six 3,5.6,Velasquez-Owens
Active Life: Outdoor Challenge,7.3,George LLC
007: The World is not Enough,8.7,Alvarado-Phillips
Spider-Man 2: Enter: Electro,7.0,"Strickland, Jordan and Robinson"
Star Wars: The Force Unleashed II,6.6,Spencer-Moore
Ni no Kuni: Wrath of the White Witch,9.3,"Stanton, Castillo and Moore"
Command & Conquer: Tiberian Sun,8.1,Adams-Wiggins
LEGO Battles: Ninjago,6.7,"Duarte, Harper and Dickerson"
Mario Party 10,8.2,Watson-Robertson
Dead Rising 3,7.0,Smith Inc
Resident Evil: The Umbrella Chronicles,5.5,Bray Inc
Fire Emblem Fates,9.0,"Henderson, Harris and Peters"
Dark Cloud,6.4,Roberts and Sons
Warcraft III: The Frozen Throne,6.9,Scott and Sons
Tom Clancy's Ghost Recon Advanced Warfighter,8.6,Morgan Group
Disney Fairies: Tinker Bell,6.2,Gonzales-Marsh
MVP Baseball 2005,7.3,Hubbard LLC
Die Hard Trilogy,6.7,Romero Group
Fight Night Round 4,8.7,"Yoder, Lee and Long"
The Simpsons Game,6.3,"Daniels, York and Carter"
Mortal Kombat 3,5.4,"Taylor, Ward and King"
NFL GameDay 99,5.8,Rodgers Group
Call of Duty: Modern Warfare: Reflex Edition,8.4,"Best, Wolfe and Coffey"
Mario Golf: Toadstool Tour,9.6,Hill Ltd
Tiger Woods 99 PGA Tour Golf,7.4,Foster PLC
Donkey Kong Country: Tropical Freeze,7.4,Garcia and Sons
Dead Space 2,6.2,Hicks PLC
Sonic Rivals 2,6.9,Shelton-Smith
Knockout Kings,6.4,Walker Ltd
The Simpsons Skateboarding,6.5,Gibson PLC
NASCAR 98,8.6,Calderon Group
F1 Race,7.0,Hamilton and Sons
Xevious,9.1,Harris LLC
NASCAR 99,7.4,Morgan-Wise
NBA Live 2000,7.8,Silva-Gregory
Super Monkey Ball 2,8.3,Taylor-Coleman
Pac-Man World 2,9.8,Stout PLC
Sonic & Sega All-Stars Racing,9.6,Smith-Gutierrez
Football Manager 2012,8.0,"Delacruz, Riggs and Strickland"
Puzzle & Dragons,7.5,Jackson Group
Mega Man 2,8.7,Gonzalez-May
Simpsons Wrestling,8.4,Vega LLC
NBA Live 98,6.8,Osborne LLC
Resistance 3,6.1,Brown Inc
Tokyo Xtreme Racer Zero,8.4,Hanson Group
Final Fantasy XIV: A Realm Reborn,6.2,Gray Ltd
NFL Blitz,9.1,Hogan-Fitzgerald
Red Faction II,8.7,Simon Group
Super Scribblenauts,6.3,Walker-Berry
WWF No Mercy,6.4,Rodriguez Inc
